Fund;Fund Type;Country;World Bank Region;Income Classification;Name of Project;Theme/Objective;Sector (OECD);DAC 5 Code;Sub-Sector;Key words;Implementing Agency;Recipient Institution;Recipient Institution type;Approved year;End year;Concessional loan;Grant;Guarantee;Equity;Amount of Funding Approved (USD millions); Disbursed (USD millions);Least Developed Country;Small Island Developing Nation;Fragile or Conflict Affected State
Adaptation Fund (AF);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;Building climate and disaster resilience capacities of vulnerable small towns in Lao PDR;Adaptation;Disaster Prevention & Preparedness;DAC740_;Disaster prevention and preparedness;Extreme weather, water infrastructure;UN-Habitat;Ministry of Public Works and Transport,Min of Natural Resources and ENV, Public Wrks Transp in Savannakhet Prov,Dept of NR & Env in Savannakhet Province;;2019;2023;;5,5;;;5,5;5,15;LDC;;
Forest Investment Program (FIP);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;Protecting Forests for Sustainable Ecosystem Management;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;;ADB;Ministry of Agriculture and Forestry;;2016;;;13,24;;;13,24;12,77;LDC;;
Forest Investment Program (FIP);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;Scaling-up Participatory Sustainable Forest Management (PSFM);Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;;IBRD;Ministry of Agriculture and Forestry;;2013;2018;;13,31;;;13,31;13,31;LDC;;
Forest Carbon Partnership Facility - Readiness Fund (FCPF-RF);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;Readiness Fund Grant;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;;IBRD;Deparment of Forestry;;2009;2011;;8,35;;;8,35;8,35;LDC;;
Global Climate Change Alliance (GCCA);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;Lao PDR Global Climate Change Alliance Programme ;Multiple foci;Other Multisector;DAC430_;Environmental policy and administrative management;;National Government;;;2011;2018;;5,61;;;5,61;4,41;LDC;;
Global Environment Facility (GEF4);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;Rural Electrification Phase II;Mitigation - General;Energy;DAC230_;Energy generation, distribution and efficiency - general;;World Bank;;;2010;;;1,82;;;1,82;1,82;LDC;;
Least Developed Countries Fund (LDCF);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;Integrated Water Resource Management and Ecosystem-based Adaptation (EbA) in the Xe Bang Hieng River Basin and Luang Prabang City;Adaptation;Water Supply & Sanitation;DAC140_;Water sector policy and administrative management;Floods, droughts;UNDP;MONRE, Department of Water Resources (DWR);;2022;;;5,33;;;5,33;;LDC;;
Least Developed Countries Fund (LDCF);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;Climate Smart Agriculture alternatives for upland production systems in Lao PDR;Multiple Foci;Agriculture;DAC311_;Agricultural policy and administrative management;Climate Smart Agriculture;FAO;Ministry of Agriculture and Forestry (MAF);Government;2021;;;3,5;;;3,5;;LDC;;
Least Developed Countries Fund (LDCF);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;Strengthening Agro-climatic Monitoring and Information Systems to Improve Adaptation to Climate Change and Food Security in Lao PDR;Adaptation;Agriculture;DAC311_;Agricultural Development;;FAO;Ministry of Natural Resources and Environment (MONRE), Department of Meteorology and Hydrology (DMH), Ministry of Agriculture and Forestry (MAF), Department of Planning and Cooperation (DPC);;2013;;;5,48;;;5,48;;LDC;;
Adaptation for Smallholder Agriculture Programme (ASAP);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;Adaptation to Climate Change in Southern Laos (ACCSL);Adaptation;Agriculture;DAC311_;Agricultural policy and administrative management;participatory planning;Governments;;;2015;;;5;;;5;4,93;LDC;;
Least Developed Countries Fund (LDCF);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;Climate Adaptation in Wetlands Areas (CAWA);Adaptation;Water Supply & Sanitation;DAC140_;Environmental policy and administrative management;wetlands, ecosystems;FAO;Ministry of Natural Resources and Environment (MONRE) International Union for Nature Conservation (IUCN) ;;2013;;;4,72;;;4,72;;LDC;;
Least Developed Countries Fund (LDCF);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;Effective Governance for Small Scale Rural Infrastructure and Disaster Preparedness in a Changing Climate;Adaptation;Disaster Prevention & Preparedness;DAC740_;Disaster prevention and preparedness;;UNDP;Mnistry of Natural Resources and Environment (MONRE);;2011;;;4,7;;;4,7;4,7;LDC;;
Forest Carbon Partnership Facility - Carbon Fund (FCPF-CF);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;Emission Reductions Payment Agreement: Promoting REDD+ through Governance, Forest landscapes & Livelihoods in Northern Lao PDR;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;;IBRD;Ministry of Agriculture and Forestry;Government;2020;;;42;;;42;3;LDC;;
Adaptation Fund (AF);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;Enhancing Adaptive Capacity in Lao PDR Provinces, and Building Resilient Housing in Vulnerable Communities;Adaptation;Disaster Prevention & Preparedness;DAC740_;Disaster prevention and preparedness;;United Nations Human Settlements Programme (UN-Habitat);;;2023;;;7,56;;;7,56;3,1;LDC;;
Adaptation Fund (AF);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;Enhancing the climate and disaster resilience of the most vulnerable rural and emerging urban human settlements in Lao PDR;Adaptation;Disaster Prevention & Preparedness;DAC740_;Disaster prevention and preparedness;;United Nations Human Settlements Programme (UN-Habitat);"Ministry of Public Works and Transport; Provincial Governments / Provincial Departments of Public Work and Transport of Attapeu, Sekong, and Sarvane Provinces";;2016;2021;;4,5;;;4,5;4,5;LDC;;
Least Developed Countries Fund (LDCF);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;Improving the Resilience of the Agriculture Sector in Lao PDR to Climate Change Impacts ;Adaptation;Agriculture;DAC311_;Agricultural Development;Food security, ecosystems;UNDP;Min of Agriculture and Forestry (MAF), through NAFRI;;2010;2016;;4,45;;;4,45;4,45;LDC;;
Global Environment Facility (GEF5);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;Reducing of Green House Gas Emissions in the Industrial Sector through Pelletization Technology ;Mitigation - General;Industry;DAC321_;Energy efficiency;;UNIDO;;;2014;;;1,27;;;1,27;1,27;LDC;;
Least Developed Countries Fund (LDCF);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;Building the Capacity of the Lao PDR Government to Advance the National Adaptation Planning Process;Adaptation;General environment protection;DAC410_;Environmental policy and administrative management;planning, capacity-building;UNEP;Department of and Climate Change Management(DCCM), Ministry of Natural Resources and Environment (MONRE);;2018;;;3,55;;;3,55;;LDC;;
Forest Investment Program (FIP);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;Smallholders Forestry Program;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;;IFC;Ministry of Agriculture and Forestry;;2013;2016;;3;;;3;;LDC;;
Green Climate Fund (GCF-1);Multilateral;Pakistan;South Asia;Lower middle income;(FP207) Recharge Pakistan: Building Pakistanís resilience to climate change through Ecosystem-based Adaptation (EbA) and Green Infrastructure for integrated flood risk management;Adaptation;Water Supply & Sanitation;DAC140_;Water sector policy and administrative management;Water management, infrastructure;WWF;Ministry of Climate Change;Government;2023;;;66;;;66;1,97;;;
Green Climate Fund (GCF-1);Multilateral;Haiti;Latin America & Caribbean;Low income;(FP208) Enhanced climate resilience in the Trois-RiviËres region of Haiti through Integrated Flood Management;Adaptation;Disaster Prevention & Preparedness;DAC740_;Multi-hazard response preparedness;Floods, disaster;UNDP;Ministry of Environment;Government;2023;;;22,43;;;22,43;0,83;LDC;SIDS - Caribbean;FCAS
Green Climate Fund (GCF-1);Multilateral;South Africa;Sub-Saharan Africa;Upper middle income;(FP209) Climate Change Resilience through South Africaís Water Reuse Programme (ìWRPî);Adaptation;Water Supply & Sanitation;DAC140_;Water sector policy and administrative management;water scarcity, reuse market;DBSA;Department of Forestry, Fisheries, and the Environment;Government;2023;;200;35;;;235;5;;;
Green Climate Fund (GCF-1);Multilateral;Regional - Sub-Saharan Africa;Sub-Saharan Africa;Not applicable;(FP210) KawiSafi II;Multiple Foci;General environment protection;DAC410_;Environmental policy and administrative management;equity fund, investment;Acumen Fund, Inc.;Minister's Office, Ministry of Environment and Sustainable Development (CÙte d'Ivoire), National Coordination of the Green Climate Fund (DRC), The National Treasury (Kenya), National Council on Climate Change (Nigeria), Rwanda Environment Management Authority, Ministry of Finance, Planning and Economic Development (Uganda), Ministry of Green Economy and Environment (Zambia);Government;2023;;;2,5;;50;52,5;;;;
Green Climate Fund (GCF-1);Multilateral;Regional - Sub-Saharan Africa;Sub-Saharan Africa;Not applicable;(FP211) Hardest-to-Reach;Multiple Foci;Energy generation, renewable sources;DAC232_;Energy generation, renewable sources - multiple technologies;green energy, access;Acumen Fund, Inc.;Ministry of Living Environment and Sustainable Development (Benin), Prime Ministry (Burkina Faso), Ministry of Environment, Agriculture, and Livestock (Burundi), Ministry of the Environment, Fisheries and Sustainable Development (Chad), National Coordination of the Green Climate Fund (DRC), The National Directorate of the Environment (Guinea), SECRETARIAT OF STATE OF THE ENVIRONMENT / GENERAL DIRECTION OF THE ENVIRONMENT (Guinea-Bissau), Ministry of Energy and Meteorology (Lesotho), Environmental Affairs Department (Malawi), Ministry of Economy and Finance ñ National Directorate for Monitoring and Evaluation (Mozambique), National Council of the Environment for Sustainable Development (CNEDD) (Niger), Environment Protection Agency (Sierra Leone), Ministry of Environment and Climate Change (Somalia), Directorate of Environment, Ministry of Environment (Togo), Ministry of Finance, Planning and Economic Development (Uganda), Ministry of Green Economy and Environment (Zambia);Government;2023;;;15;;50;65;;;;
Green Climate Fund (GCF-1);Multilateral;Global;Not applicable;Not applicable;(FP212) &Green Fund: Investing in Inclusive Agriculture and Protecting Forests;Multiple Foci;Agriculture, Forestry, Fishing;DAC310_;;productivity, agriculture, forest;FMO;Secretariat for International Affairs, Ministry of Finance (Brazil), Ministry of Environment, Protection of Nature and Sustainable Development (MINEPDED) (Cameroon), National Planning Department (Colombia), Minister's Office, Ministry of Environment and Sustainable Development (CÙte d'Ivoire), National Coordination of the Green Climate Fund (DRC), Ministry of Environment and Water (Ecuador), Conseil National Climat National Climate Council  (Gabon), Fiscal Policy Agency, Ministry of Finance (Indonesia), Ministry of Natural Resources and Environment (Lao PDR), Environmental Protection Agency (Liberia), Ministry of Green Economy and Environment (Zambia);Government;2023;;180;9,35;;;189,35;84,68;;;
Green Climate Fund (GCF-1);Multilateral;Barbados;Latin America & Caribbean;High income;(FP213) The Blue Green Bank (BGB);Multiple Foci;Banking & Financial Services;DAC240_;Financial policy and administrative management;green financing, financial ecosystem;Pegasus Capital Advisors;Economic Affairs and Investment Division Ministry of Finance, Economic Affairs and Investment;Government;2023;;;;;15,5;15,5;;;SIDS - Caribbean;
Green Climate Fund (GCF-1);Multilateral;Thailand;East Asia & Pacific;Upper middle income;(FP214) Thai Rice: Strengthening Climate-Smart Rice Farming;Multiple Foci;Agriculture;DAC311_;Agricultural development;rice, circular economy solutions;Deutsche Gesellschaft fuer Internationale Zusammenarbeit (GIZ) GmbH;Ministry of Natural Resources and Environment;Government;2023;;;40,06;;;40,06;;;;
Green Climate Fund (GCF-1);Multilateral;Global;Not applicable;Not applicable;(FP215) Community Resilience Partnership Program;Adaptation;General environment protection;DAC410_;Environmental policy and administrative management;information, sustainability investments;ADB;Ministry of Environment (Cambodia), Fiscal Policy Agency, Ministry of Finance (Indonesia), Ministry of Natural Resources and Environment (Lao PDR), Ministry of Climate Change (Pakistan), Office of Climate Change and Development (Papua New Guinea), Office of the Deputy Prime Minister, Coordinating Minister for Economic Affairs, Minister of Tourism and Environment (Timor Leste), Ministry of Climate Change, Change Adaptation, Meteorology, Geo-Hazards, Environment, Energy and Disaster Management (Vanuatu);Government;2023;;20;100;;;120;;;;
Global Environment Facility (GEF6);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;Vientiane Sustainable Urban Transport Project;Mitigation - General;Transport & Storage;DAC210_;Transport policy and administrative management;;ADB;;;2015;;;1,84;;;1,84; ;LDC;;
Global Environment Facility (GEF6);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;Lao PDR Intended National Contributions (Lao INDC);Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental research;;UNDP;;;2015;;;0,18;;;0,18;0,18;LDC;;
Least Developed Countries Fund (LDCF);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;National Adaptation Program of Action ;Adaptation;Unallocated / Unspecified;DAC998_;Environmental Research;NAPA;UNDP;Science, Technology and Environment Agency;;2004;2009;;0,2;;;0,2;0,2;LDC;;
Least Developed Countries Fund (LDCF);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;Climate Smart Agriculture alternatives for upland production systems in Lao PDR;Adaptation;Agriculture;DAC311_;Agricultural alternative development;Capacity building;FAO;Ministry of Agriculture and Forestry (MAF);;2019;;;3,5;;;3,5;;LDC;;
Adaptation Fund (AF);Multilateral;Lebanon;Middle East & North Africa;Upper middle income;Climate Smart Agriculture: Enhancing Adaptive Capacity of the Rural Communities in Lebanon (AgriCAL);Adaptation;Agriculture;DAC311_;Agricultural Development;Climate smart agriculture;International Fund for Agricultural Development (IFAD);Ministry of Agriculture;;2012;2021;;7,86;;;7,86;6,86;;;FCAS
Global Environment Facility (GEF5);Multilateral;Lebanon;Middle East & North Africa;Upper middle income;Small Decentralized Renewable Energy Power Generation;Mitigation - General;Energy;DAC230_;Power generation/renewable sources;;UNDP;Ministry of Energy and Water;;2012;2016;;1,45;;;1,45;1,45;;;FCAS
Global Environment Facility (GEF5);Multilateral;Lebanon;Middle East & North Africa;Upper middle income;Lebanon's First Biennial Update Reporting;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental research;;UNDP;Ministry of Environment;;2013;;;0,32;;;0,32;0,32;;;FCAS
